eng,ml,translation_text
The Site is directed to the people residing in India.,ഈ സൈറ്റ് ഇന്ത്യയിൽ താമസിക്കുന്ന ആളുകൾക്ക് വേണ്ടിയുള്ളതാണ്.,eng.mlSite ini ditujukan untuk warga negara India.
We do not represent that Content available on or through the Site is appropriate or available in other locations.,സൈറ്റിലോ സൈറ്റിലൂടെയോ ലഭ്യമായ ഉള്ളടക്കം ഉചിതമോ മറ്റ് സ്ഥലങ്ങളിൽ ലഭ്യമോ ആണെന്ന് ഞങ്ങൾ പ്രതിനിധീകരിക്കുന്നില്ല., We do not represent that the content available on the site or through the site is appropriate or available elsewhere.
We may limit the availability of the Site or any service or product described on the Site to any person or geographic area at any time.,സൈറ്റിന്റെ ലഭ്യത അല്ലെങ്കിൽ സൈറ്റിൽ വിവരിച്ചിരിക്കുന്ന ഏതെങ്കിലും സേവനത്തിന്റെ അല്ലെങ്കിൽ ഉൽപ്പന്നത്തിന്റെ ലഭ്യത ഞങ്ങൾ എപ്പോൾ വേണമെങ്കിലും ഏതെങ്കിലും വ്യക്തിക്കോ ഭൂമിശാസ്ത്രപരമായ പ്രദേശത്തിനോ പരിമിതപ്പെടുത്തിയേക്കാം.,eng.mlWe may at any time limit the availability of the site or the availability of any service or product described on the site to any individual or geographic area.
"If you choose to access the Site from outside India, you do so at your own risk.","ഇന്ത്യയ്ക്ക് പുറത്ത് നിന്ന് സൈറ്റ് ആക്സസ് ചെയ്യാൻ നിങ്ങൾ തിരഞ്ഞെടുക്കുകയാണെങ്കിൽ, നിങ്ങളുടെ സ്വന്തം ഉത്തരവാദിത്തത്തിലാണ് നിങ്ങൾ അത് ചെയ്യുന്നത്."," If you choose to access the site from outside India, you do so at your own risk."
Please go back to the homepage,ഹോംപേജിലേക്ക് മടങ്ങുക,eng back to homepageml
Please enter Height greater than 29.99 and less than 140.01,ദയവായി ഉയരം 29.99-ൽ കൂടുതലും 140.01-ൽ താഴെയും നൽകുക," ""Please enter a height greater than 29.99ml and less than 140.01ml"""
"While login to the Poshan Tracker App, AWWs are required to enter the MPIN set by them.","പോഷാൻ ട്രാക്കർ ആപ്പിലേക്ക് ലോഗിൻ ചെയ്യുമ്പോൾ, അവ സജ്ജീകരിച്ചിട്ടുള്ള എംപിഐയിൽ എഡബ്ല്യുഡബ്ല്യുകൾ പ്രവേശിക്കേണ്ടതുണ്ട്."," When logging into the Poshan Trackerml app, AWWs must log into the set up MPI."
This MPIN will act as a passcode to run the Poshan Tracker App and entering the information in the beneficiaries forms.,പോഷൺ ട്രാക്കർ ആപ്പ് പ്രവർത്തിപ്പിക്കുന്നതിനും ഗുണഭോക്താക്കളുടെ ഫോമുകളിൽ വിവരങ്ങൾ എന്റർ ചെയ്യുന്നതിനും ഈ എംപിഐഎൻ ഒരു പാസ് കോഡായി പ്രവർത്തിക്കും., This MPIN will act as a passcode to run the Potion Trackerml app and enter information in beneficiary forms.
How to ensure timely initiation of complementary feeding,കോംപ്ലിമെന്ററി ഫീഡിംഗ് സമയബന്ധിതമായി ആരംഭിക്കുന്നത് എങ്ങനെ ഉറപ്പാക്കാം,eng.mlHow to make sure that complementary feeding starts on time
Poshan Tracker App can only be installed in Android Phone with Android version 6.0 and above.,ആൻഡ്രോയിഡ് പതിപ്പ് 6.0 ഉം അതിന് മുകളിലുള്ളതുമായ ആൻഡ്രോയിഡ് ഫോണിൽ മാത്രമേ പോഷൻ ട്രാക്കർ ആപ്പ് ഇൻസ്റ്റാൾ ചെയ്യാൻ കഴിയൂ.,eng.ml The Potion Tracker app can only be installed on Android phones with Android version 6.0 and above.
