eng,bn,indic_trans_translated
The Site is directed to the people residing in India.,সাইটটি ভারতে বসবাসকারী লোকদের জন্য নির্দেশিত।,The site is intended for people residing in India.
We do not represent that Content available on or through the Site is appropriate or available in other locations.,আমরা এটা বর্ণনা করি না যে সাইটে বা এর মাধ্যমে উপলব্ধ বিষযবস্তু উপযুক্ত বা অন্যান্য স্থানে উপলব্ধ।,We do not describe that the content available on or through the site is available at appropriate or other locations.
We may limit the availability of the Site or any service or product described on the Site to any person or geographic area at any time.,আমরা যে কোনো সময যে কোনো ব্যক্তি বা ভৌগলিক এলাকায সাইট বা সাইটে বর্ণিত কোনো পরিষেবা বা পণ্যের প্রাপ্যতা সীমাবদ্ধ করতে পারি।,We may at any time limit the availability of any of the services or products mentioned on any person or geographical area site or site.
"If you choose to access the Site from outside India, you do so at your own risk.",আপনি যদি ভারতের বাইরে থেকে সাইটটি অ্যাক্সেস করতে চান তবে আপনি তা নিজের ঝুঁকিতে করবেন।,"If you want to access the site from outside India, you will be at your own risk."
Please go back to the homepage,হোমপেজে ফিরে যান দযা করে,Go back to homepage
Please enter Height greater than 29.99 and less than 140.01,অনুগ্রহ করে উচ্চতা 29.99 এর বেশি এবং 140.01 এর কম লিখুন,Please enter height more than 29.99 and less than 140.01
"While login to the Poshan Tracker App, AWWs are required to enter the MPIN set by them.","পশান ট্র্যাকার অ্যাপে লগইন করার সময, AWWs তাদের দ্বারা নির্ধারিত MPIN প্রবেশ করতে হবে।","At the time of login to the Passion Tracker app, AWWs will have to enter the MPIN assigned by them."
This MPIN will act as a passcode to run the Poshan Tracker App and entering the information in the beneficiaries forms.,এই MPIN পশান ট্র্যাকার অ্যাপটি চালানোর জন্য পাসকোড হিসাবে কাজ করবে এবং উপকারভোগীদের ফর্মগুলিতে তথ্য প্রবেশ করবে।,This MPIN will act as a passcode to run the Passion Tracker App and enter information in the forms of the beneficiaries
How to ensure timely initiation of complementary feeding,কিভাবে পরিপূরক খাওযানোর সমযমত সূচনা নিশ্চিত করা যায,How to ensure timely launch of complementary feeding
Poshan Tracker App can only be installed in Android Phone with Android version 6.0 and above.,পশান ট্র্যাকার অ্যাপটি কেবল ৬.০ এবং তারপরের অ্যান্ড্রযেড ভার্সানের অ্যান্ড্রযেড ফোনে ইনস্টল করা যেতে পারে।,The Passion Tracker app can be installed only on Android phones running on versions 6.0 and above.
General Awareness about Growth Monitoring of Children,শিশুদের বৃদ্ধি পর্যবেক্ষণ সম্পর্কে সাধারণ সচেতনতা,General Awareness on Observation of Child Growth
Wasting is defined as low weight-for-height,ওযেসটেডকে উচ্চতা অনুযাযী কম ওজন হিসাবে সংজ্ঞাযিত করা হয,Ozestad is defined as low weight by height
Hot Cooked Meal (HCM) Given Today,গরম রান্না করা খাবার (এইচসিএম) আজ দেওযা হযেছে,Hot cooked meals (HCM) being served today
There are 6 categories for beneficiariesPregnant WomenLactating MotherChildren from 0 to 6 monthsChildren from 6 months to 3 yearsChildren from 3 years to 6 yearsAdolescent girls,সুবিধাভোগীদের 6টি বিভাগ রযেছেগর্ভবতী মহিলাস্তন্যদানকারী মা0 থেকে 6 মাস পর্যন্ত বযসী শিশুরা6 মাস থেকে 3 বছর পর্যন্ত বযসী শিশুরা3 বছর থেকে 6 বছর পর্যন্ত বযসী শিশুরাকিশোরী মেযেরা,"There are 6 categories of beneficiaries Pregnant Women, Lactating Mothers, Pregnant Women, Lactating Mothers, Children (0-6 months), Children (6-3 years), Children (3-6 years), Adolescent Girls"
"Data Plan for Mobile Application (01 March, 2021)","মোবাইল অ্যাপ্লিকেশনটির জন্য ডেটা প্ল্যান (০১ মার্চ, ২০২১)","Data Plan for Mobile App (March 01, 2021)"
 VIII. LIMITATIONS OF MULTI- LINGUAL INTERFACE, VIII. বহুভাষিক ইন্টারফেসের সীমাবদ্ধতা,VIII. Restrictions on Multilingual Interface
Srijangram I. C. D. S. Project,শ্রীজানগ্রাম আই. সি. ডি. এস. প্রকল্প,Srijanagram ICDS Project
"We may investigate any violation of these Terms, including unauthorized use of the Site.",আমরা সাইটের অননুমোদিত ব্যবহার সহ এই শর্তাবলীর যেকোনো লঙ্ঘনের তদন্ত করতে পারি।,"We can investigate any violation of these conditions, including unauthorized use of the site."
We may provide law enforcement with information you provide to us related to your transactions to assist in any investigation or prosecution of you.,আপনার যে কোনো তদন্ত বা বিচারে সহাযতা করার জন্য আমরা আপনার লেনদেনের সাথে সম্পর্কিত তথ্য দিযে আইন প্রযোগকারীকে প্রদান করতে পারি।,"In order to assist you in any investigation or trial, we may provide your transaction related information to the law enforcement."
We may take legal action that we feel is appropriate.,যদি আমরা উপযুক্ত মনে না করি তাহলে আমরা আইনি পদক্ষেপ নিতে পারি।,"If we do not consider it appropriate, we can take legal action."
Poshan Calculator helps to identify various health conditions of the child as per World Health Organization (WHO) standards,পোশান ক্যালকুলেটর বিশ্ব স্বাস্থ্য সংস্থার (WHO) মান অনুযাযী শিশুর বিভিন্ন স্বাস্থ্য অবস্থা সনাক্ত করতে সাহায্য করে,Poshan Calculator helps in identifying the child's health status as per WHO standards
How to take care of weak newborn with the help of Kangaroo Mother Care,ক্যাঙ্গারু মাদার কেযারের সাহায্যে কীভাবে দুর্বল নবজাতকের যত্ন নেওযা যায,How to take care of a weak newborn with the help of mother kangaroo
"Any liabilities civil or criminal, arising out of any incorrect data, shall solely lie with the concerned ASP.","কোনো ভুল তথ্য থেকে উদ্ভূত যে কোনো দাযবদ্ধতা দেওযানি বা ফৌজদারি, শুধুমাত্র সংশ্লিষ্ট ASP-এর কাছে থাকবে।",Any liability arising out of any misinformation or criminal activity will remain with the concerned ASP only.
Poshan Tracker App is available over Google playstore https://play. google. com/store/apps/details?,পশান ট্র্যাকার অ্যাপ্লিকেশন গুগল প্লেস্টোর https://play. google. com/store/apps/details?,The Passion Tracker application is available on Google Playstore https: / / play.google.com / store / apps / details
Can App be accessed without internet?,ইন্টারনেট ছাডাই কি অ্যাপটি ব্যবহার করা যেতে পারে?,Can an internet shutdown app be used?
The Government has taken several initiatives to break the intergenerational cycle of malnutrition in children.,শিশুদের অপুষ্টির মধ্যবর্তী চক্রকে ভেঙে দেওযার জন্য সরকার বিভিন্ন উদ্যোগ গ্রহণ করেছে।,The Government has taken various initiatives to break the cycle of malnutrition among children.
"Adopting a life-cycle approach, interventions have been designed to meet the nutritional requirement of adolescent girls and boys, pregnant women, lactating mothers and children.","জীবনচক্রের পদ্ধতির অবলম্বন করে, হস্তক্ষেপগুলি কিশোর-কিশোরী ও বালক, গর্ভবতী মহিলা, স্তন্যদানকারী মা ও শিশুদের পুষ্টির চাহিদা মেটাতে ডিজাইন করা হযেছে।","Following the life-cycle approach, interventions are designed to meet the nutritional needs of adolescents and boys, pregnant women, lactating mothers and children."
Awareness for Pregnancy in Preventing Anemia,অ্যানিমিযা প্রতিরোধে গর্ভাবস্থার জন্য সচেতনতা,Awareness for pregnancy to prevent anemia
"Howrah North (U) I. C. D. S. Project, Howrah","হাওডা উত্তর (ইউ) আই. সি. ডি. এস. প্রকল্প, হাওডা","Howrah North (U) ICDS Project, Howrah"
Birth Preparedness- For Institutional and Home Delivery,জন্মের প্রস্তুতি- প্রাতিষ্ঠানিক এবং হোম ডেলিভারির জন্য,Birth preparedness - for institutional and home delivery
New beneficiary addition with skip OTP option,স্কিপ OTP বিকল্পের সাথে নতুন সুবিধাভোগী সংযোজন,New Consumers Added With OTP Option
We are now available on Video Conference,আমরা এখন ভিডিও কনফারেন্সে উপলব্ধ,We are now available through video conference
"Poshan Tracker App is meant for Aanganwadi workers, Anganwadi centers to enter beneficiaries data in the forms.","পশান ট্র্যাকার অ্যাপ্লিকেশনটি আঙ্গানওযাদী কর্মীদের, অঙ্গনওযাডি কেন্দ্রগুলির জন্য ফর্মগুলিতে সুবিধাভোগীদের ডেটা প্রবেশের জন্য।","Pashan Tracker application is for data entry of Anganwadi Workers, beneficiaries in forms for Anganwadi Centres."
It is not at all developed for general public.,এটি সাধারণ মানুষের জন্য মোটেই বিকাশযুক্ত নয।,This is a new normal for the common man.
Swastha Balak/Balika Spardha Mission is about celebrating the health of children in India.,Swastha Balak/Balika Spardha Mission is about celebrating the health of children in India.,Swastha Balak / Balika Spardha Mission is about celebrating the health of children in India.
It entails identification and awareness of health conditions and providing necessary support wherever required.,It entails identification and awareness of health conditions and providing necessary support wherever required.,It indicates identification and awareness of health conditions and providing adequate support wherever required.
”Our Privacy Policy applies when you use our Services (described below).,"""Our Privacy Policy applies when you use our Services (described below).",Our Privacy Policy applications when you use our Services (described below).
"This Privacy Policy is meant to help you understand what information we collect, why we collect it, and how it is used and shared.","This Privacy Policy is meant to help you understand what information we collect, why we collect it, and how it is used and shared.","This Privacy Policy is meant to help you understand what information we collect, why we collect it, and how it is used and shared."
The collecting and retaining agency in respect of your information is Ministry of Women and Child Development.,The collecting and retaining agency in respect of your information is Ministry of Women and Child Development.,The collecting and retaining agency in respect of your information is Ministry of Women and Child Development.
We are committed to protecting the security of your personal information and safeguarding your privacy.,We are committed to protecting the security of your personal information and safeguarding your privacy.,We are committed to protecting the security of your personal information and protecting your privacy.
How to revive your health if you are Underweight,আপনার ওজন কম হলে কীভাবে আপনার স্বাস্থ্য পুনরুজ্জীবিত করবেন,How to restore your health if you are underweight
Can a beneficiary change his/her AWC?,একজন সুবিধাভোগী কি তার AWC পরিবর্তন করতে পারেন?,Can a beneficiary change his AWC?
"We use the information we have, to help verify accounts.",আমরা অ্যাকাউন্ট যাচাই করতে সাহায্য করার জন্য আমাদের কাছে থাকা তথ্য ব্যবহার করি।,We use the information we have to help us verify the account.
The records may be used for verification of health status for the purposes of Poshan Tracker control and response.,রেকর্ডগুলি পোশান ট্র্যাকার নিযন্ত্রণ এবং প্রতিক্রিযার উদ্দেশ্যে স্বাস্থ্যের স্থিতি যাচাইযের জন্য ব্যবহার করা যেতে পারে।,The records can be used for monitoring health status for the purpose of controlling nutrition tracker and feedback.
Scan the QR Code to Download the App,অ্যাপটি ডাউনলোড করতে কিউআর কোডটি স্ক্যান করুন,Scan the QR code to download the app
Who is eligible for Hot Cooked Meal?,কারা গরম রান্না করা খাবারের জন্য যোগ্য?,Who are eligible for hot cooked meals?
Identifying and preventing Severe Acute Malnutrition,গুরুতর তীব্র অপুষ্টি সনাক্তকরণ এবং প্রতিরোধ করা,Acute Malnutrition Detection and Prevention
Children who are identified as deficit on nutrition are eligible for additional food supplements.,যেসব শিশুদের মধ্যে পুষ্টির ঘাটতি চিহ্নিত করা হযেছে তারা অতিরিক্ত খাদ্য সম্পূরক পাওযার যোগ্য।,Children who are found to be undernourished are eligible for supplementary nutrition.
Who is eligible for additional supplementary food.,কারা অতিরিক্ত সম্পূরক খাদ্য পাওযার জন্য যোগ্য।,Who are eligible for additional supplementary food.
"Uploading of Data of Anganwadi Services Schemes in Poshan Tracker (24 May, 2021)","পোশন ট্র্যাকারে অঙ্গনওযাডি পরিষেবা প্রকল্পের ডেটা আপলোড করা হচ্ছে (২৪ মে, ২০২১)","Uploading of Anganwadi Services Scheme data in POSHAN tracker (24th May, 2021)"
Children between 6 months - 3 years,৬ মাস থেকে ৩ বছরের মধ্যে শিশুদের,Children between 6 months to 3 years
"Ministry of Women and Child Development, Government of India, Shastri Bhawan, New Delhi","মহিলা ও শিশু উন্নযন মন্ত্রনালয, ভারত সরকার, শাস্ত্রী ভবন, নতুন দিল্লি","Ministry of Women and Child Development, Government of India, Shastri Bhawan, New Delhi"
Care of the weak newborn baby - How many weak babies are we missing?,দুর্বল নবজাতক শিশুর যত্ন - আমরা কতগুলি দুর্বল শিশুকে হারাচ্ছি?,Care of Weak Newborn - How Many Weaker Children Are We Losing?
Underweight children who received Supplementary Nutrition,কম ওজনের শিশু যারা সম্পূরক পুষ্টি পেযেছে,Low birth weight children who receive supplementary nutrition
This defense and indemnification obligation will survive this Agreement and your use of the Service and Website/App.,এই প্রতিরক্ষা এবং ক্ষতিপূরণের বাধ্যবাধকতা এই চুক্তি এবং আপনার পরিষেবা এবং ওযেবসাইট/অ্যাপের ব্যবহার থেকে বেঁচে থাকবে।,This protection and compensation obligation will prevent you from using this agreement and your service and the website / app.
Identification and care of a Weak Newborn baby,একটি দুর্বল নবজাতক শিশুর সনাক্তকরণ এবং যত্ন,Identification and Care of a Weaker Newborn
1.2. Information from use of services.,1.2. পরিষেবার ব্যবহার থেকে তথ্য।,1.2 Data on use of services.
Please contact your respective Anganwadi Centre.,অনুগ্রহ করে আপনার নিজ নিজ অঙ্গনওযাডি কেন্দ্রে যোগাযোগ করুন।,Please get in touch with your respective Anganwadi Centres.
GOBARDANGA I. C. D. S PROJECT(U),গোবরডাঙ্গা আইসিডিএস প্রকল্প (ইউ),Gobardanga ICDS Project (U)
Please fill in the form below to create a new ticket.,একটি নতুন টিকিট তৈরি করতে নীচের ফর্মটি পূরণ করুন।,To create a new ticket fill in the form below.
Anganwadi Worker will reach out to you within 48 hours.,অঙ্গনওযাডি কর্মীরা 48 ঘন্টার মধ্যে আপনার সাথে যোগাযোগ করবে।,Anganwadi workers will contact you within 48 hours.
Please note down the ticket number for future reference.,ভবিষ্যতে রেফারেন্সের জন্য টিকিট নম্বর নিচে নোট করুন.,Note down the ticket number for future reference.
Poshan Tracker is a project of Ministry of Women and Child Development.,পোশান ট্র্যাকার হল মহিলা ও শিশু উন্নযন মন্ত্রকের একটি প্রকল্প।,Poshan Tracker is a scheme of the Ministry of Women and Child Development.
Digital India Corporation is the technical partner of MoWCD.,ডিজিটাল ইন্ডিযা কর্পোরেশন MoWCD-এর প্রযুক্তিগত অংশীদার।,Digital India Corporation is the technology partner of MoWCD.
Poshan Tracker focuses on eradication of malnutrition from India.,পোশান ট্র্যাকার ভারত থেকে অপুষ্টি দূরীকরণের উপর দৃষ্টি নিবদ্ধ করে।,Poshan Tracker focuses on eliminating malnutrition from India.
It serves as a mechanism to monitor and improvise on the service delivery under Poshan Abhiyaan,এটি পোশান অভিযানের অধীনে পরিষেবা সরবরাহের উপর নজরদারি এবং তার তাৎক্ষণিক উন্নযনের লক্ষ্যে একটি প্রক্রিযা হিসাবে কাজ করে,It acts as a mechanism for monitoring of service delivery under POSHAN Abhiyaan and its immediate improvement
Is poshan trackers app available over Apple I Store also?,অ্যাপল আই স্টোরের উপরেও কি পশান ট্র্যাকস অ্যাপ পাওযা যায?,Do you also have the Passion Tracks App on the Apple iStore?
Number of records becoming inactive and number of records migrating from one category to another,নিষ্ক্রিয হওযা রেকর্ডের সংখ্যা এবং এক বিভাগ থেকে অন্য বিভাগে স্থানান্তরিত রেকর্ডের সংখ্যা,Number of records transferred from one department to another
In How many languages the Poshan Tracker App is available?,কত ভাষায পশান ট্র্যাকার অ্যাপ্লিকেশন উপলব্ধ?,How many languages is Passion Tracker App available?
AWWs are requested to enter their mobile numbers in the Login screen.,AWW দের লগইন স্ক্রিনে তাদের মোবাইল নম্বর এন্টার করার জন্য অনুরোধ করা হয।,AWWs are requested to enter their mobile number on the login screen.
"An OTP will be sent to your registered mobile number, post which you are required too set your MPIN.","আপনার নিবন্ধিত মোবাইল নম্বরে একটি ওটিপি পাঠানো হবে, এর পর আপনাকে আপনার MPIN সেট করতে হবে।","An OTP will be sent to your registered mobile number, after which you will have to set up your MPIN."
Measles Containing vaccine (MCV)/MR-2JE-2**DiphtheriaPertussis & Tetanus (DPT)-Booster-1OPV –Booster,হামের ভ্যাকসিন (MCV)/MR-2JE-2**ডিপথিরিযাপারটুসিস এবং টিটেনাস্ (DPT)-বুস্টার-1OPV - বুস্টার,Ham Vaccine (MCV) / MR-2JE-2 * Diphtheria and Tetanus (DPT) - Booster-1OPV-Booster
The Poshan Tracker enables real-time monitoring and tracking of all AWCs and beneficiaries on defined indicators.,পোশান ট্র্যাকার সমস্ত AWC এবং সংজ্ঞাযিত সূচকে সুবিধাভোগীদের রিযেল-টাইম পর্যবেক্ষণ এবং ট্র্যাকিং সক্ষম করে।,Poshan Tracker enables real-time monitoring and tracking of beneficiaries across all AWCs and defined indicators.
It is built using centralized data architecture that also aligns with the digital technology systems of other ministries and programs.,এটি কেন্দ্রীভূত ডেটা আর্কিটেকচার ব্যবহার করে তৈরি করা হযেছে যা অন্যান্য মন্ত্রণালয এবং প্রোগ্রামগুলির ডিজিটাল প্রযুক্তি সিস্টেমের সাথে সারিবদ্ধ।,It is built using a centralized data architecture that is aligned with the digital technology systems of other ministries and programs.
The public dashboard helps to impart transparency on services delivered to beneficiaries,পাবলিক ড্যাশবোর্ড সুবিধাভোগীদের প্রদান করা পরিষেবাগুলিতে স্বচ্ছতা প্রদানে সহাযতা করে,Public Dashboard helps in Transparency in Services Provided to Beneficiaries
Translations on the Poshan Tracker Portal & App Chabot are done by third party translators.,পোশান ট্র্যাকার পোর্টাল এবং অ্যাপ চ্যাটবটের অনুবাদগুলি তৃতীয পক্ষের অনুবাদকদের দ্বারা করা হয।,Translations of Poshan Tracker Portal and App Chatbot are done by third party interpreters.
"While the translations are done on a best effort basis, some of the parts may be incorrect.","যদিও অনুবাদগুলি সর্বোত্তম প্রচেষ্টার ভিত্তিতে করা হয, তবে কিছু অংশ ভুল হতে পারে।","Though translations are based on best effort, some may be wrong."
Certain files and other items on the website cannot be translated.,ওযেবসাইটের কিছু ফাইল এবং অন্যান্য আইটেম অনুবাদ করা যাবে না।,Some of the files and other items on the website cannot be translated.
"In addition, on translation, some applications and/or services may not function as expected, due to language barriers.","উপরন্তু, অনুবাদ করলে, কিছু অ্যাপ্লিকেশন এবং/অথবা পরিষেবাগুলি প্রত্যাশিতভাবে কাজ নাও করতে পারে, ভাষার বাধার কারণে।","In addition, when translated, some applications and / or services may not work as expected, due to language barriers."
"We are working constantly to rectify any errors, omissions, or ambiguities in the translations provided on this portal.","এই পোর্টালে প্রদত্ত অনুবাদগুলিতে যেকোন ত্রুটি, বাদ পডা বা অস্পষ্টতা সংশোধন করার জন্য আমরা ক্রমাগত কাজ করছি।","We are constantly working to rectify any errors, omissions or ambiguities in the translations provided on this portal."
"The MGRS collected primary growth data and related information from approximately 8500 children from widely different ethnic backgrounds and cultural settings (Brazil, Ghana, India, Norway, Oman and the USA)","MGRS ব্যাপকভাবে বিভিন্ন জাতিগত পটভূমি এবং সাংস্কৃতিক সেটিং (ব্রাজিল, ঘানা, ভারত, নরওযে, ওমান এবং মার্কিন যুক্তরাষ্ট্র) থেকে আনুমানিক 8500 শিশুর প্রাথমিক বৃদ্ধির তথ্য এবং সম্পর্কিত তথ্য সংগ্রহ করেছে।","The MGRS has extensively collected primary growth data and related data of an estimated 8500 children from various ethnic backgrounds and cultural settings (Brazil, Ghana, India, Norway, Oman and the United States)."
Children of different age groups are monitored on monthly basis by AWWs.,AWWs দ্বারা মাসিক ভিত্তিতে বিভিন্ন বযসের শিশুদের পর্যবেক্ষণ করা হয।,Children of different ages are monitored on a monthly basis by AWWs.
"Health indicators like Stunting, Wasting and Underweight prevalence are measured as per WHO standards.","স্বাস্থ্য সূচক যেমন স্টান্টিং, ওযেস্টিং এবং কম ওজনের প্রাদুর্ভাব WHO-এর মান অনুযাযী পরিমাপ করা হয।","Health indicators such as stunting, wasting and underweight prevalence are measured as per WHO standards."
Regular growth monitoring helps AWWs to provide relevant and timely assistance to children,নিযমিত বৃদ্ধি পর্যবেক্ষণ AWW-কে শিশুদের প্রাসঙ্গিক এবং সমযমত সহাযতা প্রদান করতে সাহায্য করে,Regular growth monitoring helps AWW to provide relevant and timely support to children
"Awareness for Children Stunting, Wasting to prevent malnutrition in children","শিশুদের মধ্যে অপুষ্টি প্রতিরোধে শিশুদের বৃদ্ধিতে বাধা, অপুষ্টির ব্যাপারে সচেতনতা","Preventing Malnutrition among Children Stalling Child Growth, Awareness on Malnutrition"
Poshan Tracker adds new application features,পোশান ট্র্যাকার নতুন অ্যাপ্লিকেশন বৈশিষ্ট্য যোগ করে,Poshan Tracker Adds New App Features
Making or Updating Home Visit Planner and Initiating home visits,হোম ভিজিট প্ল্যানার তৈরি বা আপডেট করা এবং হোম ভিজিট শুরু করা,Create or update the Home Visit Planner and start the Home Visit
Poshan Calculator is designed to measure growth of the child based on standards defined by World Health Organization (WHO),পোশান ক্যালকুলেটর বিশ্ব স্বাস্থ্য সংস্থা (WHO) দ্বারা সংজ্ঞাযিত মানগুলির উপর ভিত্তি করে শিশুদের বৃদ্ধি পরিমাপ করার জন্য ডিজাইন করা হযেছে।,The Poshan calculator is designed to measure the growth of children based on standards defined by the World Health Organization (WHO).
Migrated from one category to another,এক শ্রেণী থেকে অন্য শ্রেণীতে স্থানান্তরিত হযেছে,has moved from one class to another
