eng,as,indic_trans_translated
The Site is directed to the people residing in India.,চাইটটো ভাৰতত বাস কৰা লোকসকলৰ বাবে পৰিচালিত।,The site is for people residing in India.
We do not represent that Content available on or through the Site is appropriate or available in other locations.,আমি প্ৰতিনিধিত্ব নকৰো যে চাইটটোৰ জৰিযতে বা চাইটটোত উপলব্ধ কন্টেন্ট সমূহ উপযুক্ত আৰু আন স্থানত উপলব্ধ।,We do not represent that the content available on the site or through the site is suitable and available elsewhere.
We may limit the availability of the Site or any service or product described on the Site to any person or geographic area at any time.,আমি যিকোনো সমযত কোনো লোক বা ভৌগলিক অঞ্চললৈ চাইটটো বা চাইটটোত বিৱৰিত কোনো সেৱা বা প্ৰডাক্টৰ উপলব্ধতা সীমাৱদ্ধ কৰি তুলিব পাৰো।,We may at any time limit the availability of any service or product described in the site to any person or geographical region.
"If you choose to access the Site from outside India, you do so at your own risk.","যদি আপুনি ভাৰতৰ বাহিৰৰ পৰা চাইটটোত প্ৰৱেশ কৰিবলৈ বিচাৰে, আপুনি নিজৰ ৰিস্কত এনে কৰিব পাৰে।","If you want to access the site from outside India, you can do so at your own risk."
Please go back to the homepage,প্লিজ গো ব্যাক তো টি হোমপেজ,Please go back to the homepage
Please enter Height greater than 29.99 and less than 140.01,অনুগ্ৰহ কৰি 29.99 তকৈ অধিক আৰু 140.01 তকৈ কম উচ্চতা প্ৰদান কৰক,Please provide a height of more than 29.99 and less than 140.01
"While login to the Poshan Tracker App, AWWs are required to enter the MPIN set by them.","পোষণ ট্ৰেকজাৰ এপত লগইন কৰোঁতে, AWWসকলে তেওঁলোকৰ দ্বাৰা নিৰ্ধাৰিত MPIN প্ৰবিষ্ট কৰিব লাগিব।","While logging into the POSHAN Tracker App, AWWs are required to enter the MPIN as prescribed by them."
This MPIN will act as a passcode to run the Poshan Tracker App and entering the information in the beneficiaries forms.,এই MPIN-এ পোষণ ট্ৰেকাৰ এপ চলাবলৈ আৰু হিতাধিকাৰীৰ প্ৰপত্ৰত তথ্য প্ৰবিষ্ট কৰিবলৈ পাছকোড হিচাপে কাম কৰিব।,This MPIN will serve as a password for running the POSHAN tracker app and entering information in the beneficiary's form.
How to ensure timely initiation of complementary feeding,পৰিপূৰক খাদ্য প্ৰদানৰ সমযমতে সূচনা কেনেদৰে সুনিশ্চিত কৰিব,How to ensure timely delivery of food to needy
Poshan Tracker App can only be installed in Android Phone with Android version 6.0 and above.,পোষণ ট্ৰেকাৰ এপ কেৱল এণ্ড্ৰইড ফোনত এণ্ড্ৰইড সংস্কৰণ ৬.০ আৰু ততোধিকৰ সৈতে ইনষ্টল কৰিব পাৰি।,The POSHAN tracker app can only be installed on Android phones with version 6.0 and above.
General Awareness about Growth Monitoring of Children,শিশুসকলৰ বিকাশ পৰ্যবেক্ষণ কৰাৰ বিষযে সাধাৰণ সজাগতা,General Awareness on Child Development
Wasting is defined as low weight-for-height,পুষ্টিহীনতাক উচ্চতা অনুসৰি ওজন হিচাপে সংজ্ঞাযিত কৰা হয,Definitions of undernourishment are defined as weight by height
Hot Cooked Meal (HCM) Given Today,হট কুকড মীল (এইচচিএম) আজি দিযা হয,Hot Cooked Meal (HCM) to be distributed today
There are 6 categories for beneficiariesPregnant WomenLactating MotherChildren from 0 to 6 monthsChildren from 6 months to 3 yearsChildren from 3 years to 6 yearsAdolescent girls,হিতাধিকাৰীসকলৰ বাবে 6 টা শ্ৰেণী থাকেগৰ্ভৱতী মহিলাস্তন্যপান কৰোৱা মহিলা0 ৰ পৰা 6 মাহৰ শিশু6 মাহৰ পৰা 3 বছৰৰ শিশু3 বছৰৰ পৰা 6 বছৰৰ শিশুকিশোৰী,"There are 6 categories of beneficiaries Pregnant Women, Lactating Mothers, Children of 0-6 months age group, Children of 6-3 years age group and Adolescent Girls of 3-6 years age group"
"Data Plan for Mobile Application (01 March, 2021)","ম'বাইল এপ্লিকেশ্বনৰ বাবে ডাটা প্লান (০১ মাৰ্চ, ২০২১)","Data plan for mobile application (March 01, 2021)"
 VIII. LIMITATIONS OF MULTI- LINGUAL INTERFACE, VIII. বহু-ভাষিক ইন্টাৰফেচৰ সীমাৱদ্ধতা,Multilingual interface limitation
Srijangram I. C. D. S. Project,শ্ৰীজনগ্ৰাম আই. চি. ডি. এছ. প্ৰকল্প,Srijangam ICDS Project
"We may investigate any violation of these Terms, including unauthorized use of the Site.","আমি চাইটটোৰ অ-অনুমোদিত ব্যৱহাৰকে ধৰি, এই চৰ্তাৱলী সমূহৰ যিকোনো উলংঘনৰ তদন্ত কৰিব পাৰো।","We can investigate any violation of these conditions, including the unauthorized use of the site."
We may provide law enforcement with information you provide to us related to your transactions to assist in any investigation or prosecution of you.,আমি আপোনাৰ যিকোনো অনুসন্ধান বা অভিযোগ উত্থাপনত সহযোগ কৰিবলৈ আপোনাৰ লেনদেনৰে সম্পৰ্কিত আপুনি আমাক যোগান ধৰা তথ্যৰ সৈতে আইনী বলৱৎকৰণ আগবঢাব পাৰো।,We can proceed with legal enforcement with the information you provide us about your transactions to support any investigation or complaint you may have.
We may take legal action that we feel is appropriate.,আমি আইনী ব্যৱস্থা গ্ৰহণ কৰিব পাৰো যাক আমি উপযুক্ত বুলি অনুভৱ কৰো।,We can take legal action which we feel is appropriate.
