eng,mr,indic_trans_translated
The Site is directed to the people residing in India.,साइट भारतात राहणार्या लोकांसाठी निर्देशित केली आहे.,The site is meant for people residing in India.
We do not represent that Content available on or through the Site is appropriate or available in other locations.,आम्ही असे प्रतिनिधित्व करत नाही की साइटवर किंवा त्याद्वारे उपलब्ध असलेली सामग्री योग्य आहे किंवा इतर ठिकाणी उपलब्ध आहे.,We do not represent whether the material that is available on or through the site is correct or is available at other places.
We may limit the availability of the Site or any service or product described on the Site to any person or geographic area at any time.,आम्ही साइट किंवा साइटवर वर्णन केलेल्या कोणत्याही सेवा किंवा उत्पादनाची उपलब्धता कोणत्याही व्यक्ती किंवा भौगोलिक क्षेत्रासाठी कोणत्याही वेळी मर्यादित करू शकतो.,We can limit the availability of any service or product described on the site or site to any person or geographical area at any time.
"If you choose to access the Site from outside India, you do so at your own risk.","तुम्ही भारताबाहेरून साइटवर प्रवेश करणे निवडल्यास, तुम्ही ते तुमच्या स्वतःच्या जोखमीवर करता.","If you choose to access the site from outside India, you do so at your own risk."
Please go back to the homepage,कृपया मुख्यपृष्ठावर परत जा,Please return to the homepage
Please enter Height greater than 29.99 and less than 140.01,कृपया 38 पेक्षा जास्त आणि 150 पेक्षा कमी उंची प्रविष्ट करा,Please enter a height of more than 38 and less than 150
"While login to the Poshan Tracker App, AWWs are required to enter the MPIN set by them.","पोषण ट्रॅझर अॅपवर लॉग इन करताना, एडब्ल्यूडब्ल्यू ने त्यांच्याद्वारे सेट केलेला एमपीन प्रविष्ट करणे आवश्यक आहे.","While logging into POSHAN Treasure App, AWW is required to enter the MPIN set by them."
This MPIN will act as a passcode to run the Poshan Tracker App and entering the information in the beneficiaries forms.,हे एमपीन पोषण ट्रॅकर अॅप चालविण्यासाठी पासकोड म्हणून काम करेल आणि लाभार्थी फॉर्ममध्ये माहिती प्रविष्ट करेल.,This MP will act as a passcode to run the POSHAN tracker app and enter the information in the beneficiary form.
How to ensure timely initiation of complementary feeding,पूरक आहार वेळेवर सुरू करण्याची खात्री कशी करावी,How to ensure timely delivery of supplements
Poshan Tracker App can only be installed in Android Phone with Android version 6.0 and above.,पॉशन ट्रॅकर अॅप केवळ अँड्रॉइड फोन ६.० आणि त्यावरील आवृत्तीसह स्थापित केला जाऊ शकतो.,The POSHAN Tracker app can be installed with Android Phone 6.0 and above only.
General Awareness about Growth Monitoring of Children,मुलांच्या ग्रोथ मॉनिटरिंग बद्दल सामान्य जागरूकता,General Awareness on Child Growth Monitoring
Wasting is defined as low weight-for-height,अशक्त जाण्याची व्याख्या उंचीसाठी कमी वजन अशी केली जाते,Disability is defined as low weight for height
