eng,ml,indic_trans_translated
The Site is directed to the people residing in India.,ഈ സൈറ്റ് ഇന്ത്യയിൽ താമസിക്കുന്ന ആളുകൾക്ക് വേണ്ടിയുള്ളതാണ്.,This website is for the people living in India.
We do not represent that Content available on or through the Site is appropriate or available in other locations.,സൈറ്റിലോ സൈറ്റിലൂടെയോ ലഭ്യമായ ഉള്ളടക്കം ഉചിതമോ മറ്റ് സ്ഥലങ്ങളിൽ ലഭ്യമോ ആണെന്ന് ഞങ്ങൾ പ്രതിനിധീകരിക്കുന്നില്ല.,We do not represent whether the content available on the site or through the site is appropriate or available in other places.
We may limit the availability of the Site or any service or product described on the Site to any person or geographic area at any time.,സൈറ്റിന്റെ ലഭ്യത അല്ലെങ്കിൽ സൈറ്റിൽ വിവരിച്ചിരിക്കുന്ന ഏതെങ്കിലും സേവനത്തിന്റെ അല്ലെങ്കിൽ ഉൽപ്പന്നത്തിന്റെ ലഭ്യത ഞങ്ങൾ എപ്പോൾ വേണമെങ്കിലും ഏതെങ്കിലും വ്യക്തിക്കോ ഭൂമിശാസ്ത്രപരമായ പ്രദേശത്തിനോ പരിമിതപ്പെടുത്തിയേക്കാം.,The availability of the site or any service or product mentioned on the site can be restricted to any person or geographical area at any time.
"If you choose to access the Site from outside India, you do so at your own risk.","ഇന്ത്യയ്ക്ക് പുറത്ത് നിന്ന് സൈറ്റ് ആക്സസ് ചെയ്യാൻ നിങ്ങൾ തിരഞ്ഞെടുക്കുകയാണെങ്കിൽ, നിങ്ങളുടെ സ്വന്തം ഉത്തരവാദിത്തത്തിലാണ് നിങ്ങൾ അത് ചെയ്യുന്നത്.","If you choose to access the site from outside India, you are doing it on your own responsibility."
Please go back to the homepage,ഹോംപേജിലേക്ക് മടങ്ങുക,Return to homepage
Please enter Height greater than 29.99 and less than 140.01,ദയവായി ഉയരം 29.99-ൽ കൂടുതലും 140.01-ൽ താഴെയും നൽകുക,Please enter height more than 29.99 and less than 140.01
"While login to the Poshan Tracker App, AWWs are required to enter the MPIN set by them.","പോഷാൻ ട്രാക്കർ ആപ്പിലേക്ക് ലോഗിൻ ചെയ്യുമ്പോൾ, അവ സജ്ജീകരിച്ചിട്ടുള്ള എംപിഐയിൽ എഡബ്ല്യുഡബ്ല്യുകൾ പ്രവേശിക്കേണ്ടതുണ്ട്.","While logging in to the Poshan Tracker App, AWWs are required to be entered in the MPI where they are set up."
This MPIN will act as a passcode to run the Poshan Tracker App and entering the information in the beneficiaries forms.,പോഷൺ ട്രാക്കർ ആപ്പ് പ്രവർത്തിപ്പിക്കുന്നതിനും ഗുണഭോക്താക്കളുടെ ഫോമുകളിൽ വിവരങ്ങൾ എന്റർ ചെയ്യുന്നതിനും ഈ എംപിഐഎൻ ഒരു പാസ് കോഡായി പ്രവർത്തിക്കും.,This MPIN will serve as a passcode for running the POSHAN Tracker App and entering information in the beneficiary forms.
How to ensure timely initiation of complementary feeding,കോംപ്ലിമെന്ററി ഫീഡിംഗ് സമയബന്ധിതമായി ആരംഭിക്കുന്നത് എങ്ങനെ ഉറപ്പാക്കാം,How to ensure timely start of supplementary feeding
Poshan Tracker App can only be installed in Android Phone with Android version 6.0 and above.,ആൻഡ്രോയിഡ് പതിപ്പ് 6.0 ഉം അതിന് മുകളിലുള്ളതുമായ ആൻഡ്രോയിഡ് ഫോണിൽ മാത്രമേ പോഷൻ ട്രാക്കർ ആപ്പ് ഇൻസ്റ്റാൾ ചെയ്യാൻ കഴിയൂ.,The app can be installed only on Android devices running Android 6.0 and above.
General Awareness about Growth Monitoring of Children,കുട്ടികളുടെ വളർച്ചാ നിരീക്ഷണത്തെക്കുറിച്ചുള്ള പൊതുവായ അവബോധം,General Awareness on Child Development Surveillance
Wasting is defined as low weight-for-height,കുറഞ്ഞ തൂക്കം-ഉയരം-ഉയരം എന്നാണ് പാഴാക്കൽ നിർവചിച്ചിരിക്കുന്നത്,"Weighment is defined as low weight, height and height"
Hot Cooked Meal (HCM) Given Today,ഇന്ന് നൽകിയ ചൂടുള്ള വേവിച്ച ഭക്ഷണം (HCM),Hot Cooked Meal (HCM) served today
There are 6 categories for beneficiariesPregnant WomenLactating MotherChildren from 0 to 6 monthsChildren from 6 months to 3 yearsChildren from 3 years to 6 yearsAdolescent girls,ഗുണഭോക്താക്കൾക്ക് 6 വിഭാഗങ്ങളുണ്ട്ഗർഭിണികൾമുലയൂട്ടുന്ന അമ്മ0 മുതൽ 6 മാസം വരെയുള്ള കുട്ടികൾ6 മാസം മുതൽ 3 വർഷം വരെയുള്ള കുട്ടികൾ3 വയസ്സ് മുതൽ 6 വയസ്സ് വരെയുള്ള കുട്ടികൾകൌമാരക്കാരായ പെൺകുട്ടികൾ,There are 6 categories of beneficiaries: Pregnant Women (0-6 months) Children (6-3 years) Children (3-6 years) Adolescent Girls (0-6 years)
"Data Plan for Mobile Application (01 March, 2021)","മൊബൈൽ ആപ്ലിക്കേഷനായുള്ള ഡാറ്റ പ്ലാൻ (01 മാർച്ച്, 2021)","Data plan for mobile application (March 01, 2021)"
 VIII. LIMITATIONS OF MULTI- LINGUAL INTERFACE, VIII. ബഹുഭാഷാ ഇന്റർഫേസിന്റെ പരിമിതികൾ,VIII. Limitations of Multilingual Interface
Srijangram I. C. D. S. Project,ശ്രീജൻഗ്രാം ഐ. സി. ഡി. എസ്. പ്രോജക്ട്,Srijangam ICDS Project
"We may investigate any violation of these Terms, including unauthorized use of the Site.","സൈറ്റിന്റെ അനധികൃത ഉപയോഗം ഉൾപ്പെടെ, ഈ നിബന്ധനകളുടെ ഏതെങ്കിലും ലംഘനം ഞങ്ങൾ അന്വേഷിക്കാം.","We can investigate any violation of these provisions, including illegal use of the site."
We may provide law enforcement with information you provide to us related to your transactions to assist in any investigation or prosecution of you.,നിങ്ങളുടെ ഇടപാടുകളുമായി ബന്ധപ്പെട്ട് നിങ്ങൾ ഞങ്ങൾക്ക് നൽകുന്ന വിവരങ്ങൾ നിയമപാലകർക്ക് ഞങ്ങൾ നൽകിയേക്കാം.,We may provide the information you give us about your transactions to the law enforcement.
We may take legal action that we feel is appropriate.,ഞങ്ങൾക്ക് ഉചിതമെന്ന് തോന്നുന്ന നിയമനടപടി സ്വീകരിക്കാം.,We will take appropriate legal action.
