eng,or,indic_trans_translated
Please go back to the homepage,ଦୟାକରି ମୂଳପୃଷ୍ଠାକୁ ଫେରନ୍ତୁ |,Please return to the home page.
Please enter Height greater than 29.99 and less than 140.01,ଦୟାକରି 29.99 ରୁ ଅଧିକ ଏବଂ 140.01 ରୁ କମ୍ ଉଚ୍ଚତା ପ୍ରବେଶ କରନ୍ତୁ |,Please enter higher than 29.99 and lower than 140.01.
"While login to the Poshan Tracker App, AWWs are required to enter the MPIN set by them.","ପୋଷନ୍ ଟ୍ରାକର୍ ଆପ୍ରେ ଲଗ୍ଇନ୍ କରିବା ସମୟରେ, ଏଡବ୍ଲ୍ୟୁଡବ୍ଲ୍ୟୁମାନେ ସେମାନଙ୍କ ଦ୍ୱାରା ସେଟ୍ ହୋଇଥିବା ପ୍ରବେଶ କରିବାକୁ ଆବଶ୍ୟକ କରିଥାନ୍ତି ।","While logging in to the POSHAN Tracker App, AWWs are required to login as set by them."
This MPIN will act as a passcode to run the Poshan Tracker App and entering the information in the beneficiaries forms.,ଏହି ଏମ୍ପିଆଇଏନ୍ ପୋଷନ୍ ଟ୍ରାକର୍ ଆପ୍ ଚଲାଇବା ଏବଂ ହିତାଧିକାରୀ ଫର୍ମରେ ସୂଚନା ପ୍ରବେଶ କରିବା ପାଇଁ ଏକ ପାସକୋଡ୍ ଭାବରେ କାମ କରିବ ।,This MPIN will serve as a passcode for running POSHAN Tracker App and entering information in beneficiary form.
How to ensure timely initiation of complementary feeding,ସଂପନ୍ନ ଖାଦ୍ୟପେୟର ସମୟାନୁବର୍ତ୍ତୀକୁ କିପରି ସୁନିଶ୍ଚିତ କରିବେ,How to ensure punctuality of rich food
Poshan Tracker App can only be installed in Android Phone with Android version 6.0 and above.,ପୋଷନ୍ ଟ୍ରାକର୍ ଆପ୍କୁ କେବଳ ଆଣ୍ଡ୍ରଏଡ୍ ଭର୍ସନ୍ 6.0 ଏବଂ ତଦୁର୍ଦ୍ଧ ସହିତ ଆଣ୍ଡ୍ରଏଡ୍ ଫୋନରେ ଇନ୍ଷ୍ଟଲ୍ ହୋଇପାରିବ ।,The POSHAN Tracker app can be installed only on Android phones with version 6.0 and above.
General Awareness about Growth Monitoring of Children,ପିଲାମାନଙ୍କର ଅଭିବୃଦ୍ଧି ତଦାରଖ ବିଷୟରେ ସାଧାରଣ ସଚେତନତା,Public awareness of child development monitoring
Wasting is defined as low weight-for-height,କମ୍ ଓଜନ-ଉଚ୍ଚତା ପାଇଁ ଅପଚୟ କୁ ବ୍ୟାଖ୍ୟା କରାଯାଇଛି |,Wastage is defined for low weight and height.
Hot Cooked Meal (HCM) Given Today,ଆଜି ଦିଆଯାଇଥିବା ଗରମ ଭୋଜନ (HCM),Hot Meals Provided Today (HCM)
There are 6 categories for beneficiariesPregnant WomenLactating MotherChildren from 0 to 6 monthsChildren from 6 months to 3 yearsChildren from 3 years to 6 yearsAdolescent girls,ହିତାଧିକାରୀଙ୍କ ପାଇଁ 6 ଟି ବର୍ଗ ଅଛିଗର୍ଭବତୀ ମହିଳାସ୍ତନ୍ୟପାନ କରାଉଥିବା ମାତା0 ରୁ 6 ମାସ ପର୍ଯ୍ୟନ୍ତ ପିଲାମାନେ6 ମାସରୁ 3 ବର୍ଷ ପର୍ଯ୍ୟନ୍ତ ପିଲାମାନେ3 ବର୍ଷରୁ 6 ବର୍ଷ ପର୍ଯ୍ୟନ୍ତ ପିଲାମାନେକିଶୋର ଝିଅମାନେ,"There are six categories of beneficiaries: Pregnant women, Lactating mothers, Children (0-6 months), Children (6-3 years), Children (3-6 years), Adolescent girls"
"Data Plan for Mobile Application (01 March, 2021)","ମୋବାଇଲ୍ ଆପ୍ଲିକେସନ୍ ପାଇଁ ଡାଟା ପ୍ଲାନ୍ (01 ମାର୍ଚ୍ଚ, 2021)","Data plan for mobile application (March 01, 2021)"
 VIII. LIMITATIONS OF MULTI- LINGUAL INTERFACE, VIII. ଏକାଧିକ ଭାଷାଭାଷୀ ଇଣ୍ଟରଫେସ୍ ର ସୀମା |,Limits of multiple language interfaces.
Srijangram I. C. D. S. Project,ଶ୍ରୀଜନଗ୍ରାମ ଆଇସିଡିଏସ ପ୍ରକଳ୍ପ,Srijan Gram ICDS Project
Poshan Calculator helps to identify various health conditions of the child as per World Health Organization (WHO) standards,ବିଶ୍ୱ ସ୍ୱାସ୍ଥ୍ୟ ସଂଗଠନ (WHO) ମାନକ ଅନୁଯାୟୀ ପୃଷ୍ଟିକର କାଲ୍କୁଲେଟର ଶିଶୁର ବିଭିନ୍ନ ସ୍ୱାସ୍ଥ୍ୟ ଅବସ୍ଥା ଚିହ୍ନଟ କରିବାରେ ସାହାଯ୍ୟ କରେ,Psychiatric calculator helps in identification of various health conditions of children as per World Health Organization (WHO) standards
How to take care of weak newborn with the help of Kangaroo Mother Care,କଙ୍ଗାରୁ ମଦର କେୟାର ସାହାଯ୍ୟରେ କିପରି ଦୁର୍ବଳ ନବଜାତ ଶିଶୁର ଯତ୍ନ ନେବେ,How to take care of a weak newborn with the help of mother
Poshan Tracker App is available over Google playstore https://play. google. com/store/apps/details?,ଗୁଗଲ୍ ପ୍ଲେ ଷ୍ଟୋର https://play. google. com/store/apps/details?,Google Play Store https: / / play.google.com / store / apps / details? id = html
Can App be accessed without internet?,ଇଣ୍ଟରନେଟ୍ ବିନା ଆପ୍କୁ ବ୍ୟବହାର କରାଯାଇପାରିବ କି?,Can an app be used without internet?
The Government has taken several initiatives to break the intergenerational cycle of malnutrition in children.,ଶିଶୁମାନଙ୍କର ପୁଷ୍ଟିହୀନତାର ଆନ୍ତ gen ଜାତୀୟ ଚକ୍ରକୁ ଭାଙ୍ଗିବା ପାଇଁ ସରକାର ଅନେକ ପଦକ୍ଷେପ ନେଇଛନ୍ତି।,The Government has taken a number of steps to break the inter-generational cycle of malnutrition in children.
"Adopting a life-cycle approach, interventions have been designed to meet the nutritional requirement of adolescent girls and boys, pregnant women, lactating mothers and children.","ଏକ ଜୀବନଚକ୍ର ପଦ୍ଧତିକୁ ଗ୍ରହଣ କରି କିଶୋର ବାଳିକା ଏବଂ ବାଳକ, ଗର୍ଭବତୀ ମହିଳା, ସ୍ତନ୍ୟପାନ କରାଉଥିବା ମା ଏବଂ ପିଲାମାନଙ୍କର ପୁଷ୍ଟିକର ଆବଶ୍ୟକତା ପୂରଣ ପାଇଁ ହସ୍ତକ୍ଷେପ ପ୍ରସ୍ତୁତ କରାଯାଇଛି |","Interventions have been formulated to address the nutritional needs of adolescent girls and boys, pregnant women, lactating mothers and children by adopting a life cycle approach."
Awareness for Pregnancy in Preventing Anemia,ରକ୍ତହୀନତାକୁ ରୋକିବାରେ ଗର୍ଭଧାରଣ ପାଇଁ ସଚେତନତା,Awareness for pregnancy to prevent anemia
