eng,kn,indic_trans_translated
The Site is directed to the people residing in India.,ಭಾರತದಲ್ಲಿ ವಾಸಿಸುವ ಜನರಿಗೆ ಸೈಟ್ ಅನ್ನು ನಿರ್ದೇಶಿಸಲಾಗಿದೆ.,The site is directed to the people living in India.
We do not represent that Content available on or through the Site is appropriate or available in other locations.,ಸೈಟ್ನಲ್ಲಿ ಅಥವಾ ಅದರ ಮೂಲಕ ಲಭ್ಯವಿರುವ ವಸ್ತುವು ಇತರ ಸ್ಥಳಗಳಲ್ಲಿ ಸೂಕ್ತವಾಗಿದೆ ಅಥವಾ ಲಭ್ಯವಿದೆ ಎಂದು ನಾವು ಪ್ರತಿನಿಧಿಸುವುದಿಲ್ಲ.,We do not represent that the material available on or through the site is suitable or available in other places.
We may limit the availability of the Site or any service or product described on the Site to any person or geographic area at any time.,ನಾವು ಯಾವುದೇ ಸಮಯದಲ್ಲಿ ಯಾವುದೇ ವ್ಯಕ್ತಿ ಅಥವಾ ಭೌಗೋಳಿಕ ಪ್ರದೇಶಕ್ಕೆ ಸೈಟ್ ಅಥವಾ ಸೈಟ್ನಲ್ಲಿ ವಿವರಿಸಿದ ಯಾವುದೇ ಸೇವೆ ಅಥವಾ ಉತ್ಪನ್ನದ ಲಭ್ಯತೆಯನ್ನು ಮಿತಿಗೊಳಿಸಬಹುದು.,We may at any time limit the availability of any service or product described on the site or site to any person or geographical area
"If you choose to access the Site from outside India, you do so at your own risk.","ನೀವು ಭಾರತದ ಹೊರಗಿನಿಂದ ಸೈಟ್ ಅನ್ನು ಪ್ರವೇಶಿಸಲು ಆಯ್ಕೆಮಾಡಿದರೆ, ನೀವು ಅದನ್ನು ನಿಮ್ಮ ಸ್ವಂತ ಜವಾಬ್ದಾರಿಯಲ್ಲಿ ಮಾಡುತ್ತೀರಿ.","If you choose to access the site from outside India, you will do it on your own responsibility."
Please go back to the homepage,ದಯವಿಟ್ಟು ಮುಖಪುಟಕ್ಕೆ ಹಿಂತಿರುಗಿ,Please return to the homepage
Please enter Height greater than 29.99 and less than 140.01,ದಯವಿಟ್ಟು 29.99 ಕ್ಕಿಂತ ಹೆಚ್ಚು ಮತ್ತು 140.01 ಕ್ಕಿಂತ ಕಡಿಮೆ ಎತ್ತರವನ್ನು ನಮೂದಿಸಿ,Please enter a height of more than 29.99 and less than 140.01
How to ensure timely initiation of complementary feeding,ಪೂರಕ ಆಹಾರದ  ಸಕಾಲಿಕ  ಆರಂಭವನ್ನು ಹೇಗೆ ಖಚಿತಪಡಿಸಿಕೊಳ್ಳುವುದು,How to ensure timely initiation of supplements
Poshan Tracker App can only be installed in Android Phone with Android version 6.0 and above.,ಪೋಷಣ್ ಟ್ರ್ಯಾಕರ್ ಆಪ್ಪ್ ಅನ್ನು ಆಂಡ್ರೊಯಿಡ್ ೬.೦ ಆವ್ರಿತ್ತಿ ಅಥವಾ ಅದಕ್ಕಿಂತ ಮೇಲಿನ ಆವ್ರಿತ್ತಿಗಳಿರುವ ಅಂಡ್ರೊಯಿಡ್ ಫೋನ್ನಲ್ಲಿ ಸ್ಥಾಪಿಸಬಹುದು.,The POSHAN Tracker app can be installed on an Android phone with Android 6.0 or above.
General Awareness about Growth Monitoring of Children,ಮಕ್ಕಳ ಬೆಳವಣಿಗೆಯನ್ನು ಗಮನಿಸುವ ಬಗ್ಗೆ ಸಾಮಾನ್ಯ ಅರಿವು,General Awareness on Child Development
Wasting is defined as low weight-for-height,ವೇಸ್ಟಿಂಗ್ ಅನ್ನು ಕಡಿಮೆ ತೂಕ ಮತ್ತು ಎತ್ತರದ ಅನುಪಾತ ಎಂದು ವ್ಯಾಖ್ಯಾನಿಸಲಾಗಿದೆ,Vesting is defined as the ratio of low weight to high height
